Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,HouseAge,RoomDensity,SaleYear,SaleMonth
abbotsford,85 turner st,2,h,1480000.0,s,biggin,2016-03-12,2.5,3067.0,2.0,1.0,1.0,202.0,126.0,1970.0,yarra,-37.7996,144.9984,northern metropolitan,4019.0,55.0,0.009852216748768473,2016.0,3.0
abbotsford,25 bloomburg st,2,h,1035000.0,s,biggin,2016-04-02,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,yarra,-37.8079,144.9934,northern metropolitan,4019.0,125.0,0.012738853503184714,2016.0,4.0
abbotsford,5 charles st,3,h,1465000.0,sp,biggin,2017-04-03,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,yarra,-37.8093,144.9944,northern metropolitan,4019.0,125.0,0.022222222222222223,2017.0,4.0
abbotsford,40 federation la,3,h,850000.0,pi,biggin,2017-04-03,2.5,3067.0,3.0,2.0,1.0,94.0,126.0,1970.0,yarra,-37.7969,144.9969,northern metropolitan,4019.0,55.0,0.031578947368421054,2017.0,4.0
abbotsford,55a park st,4,h,1600000.0,vb,nelson,2016-04-06,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,yarra,-37.8072,144.9941,northern metropolitan,4019.0,11.0,0.03305785123966942,2016.0,4.0
abbotsford,129 charles st,2,h,941000.0,s,jellis,2016-07-05,2.5,3067.0,2.0,1.0,0.0,181.0,126.0,1970.0,yarra,-37.8041,144.9953,northern metropolitan,4019.0,55.0,0.01098901098901099,2016.0,7.0
abbotsford,124 yarra st,3,h,1876000.0,s,nelson,2016-07-05,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,yarra,-37.8024,144.9993,northern metropolitan,4019.0,115.0,0.012195121951219513,2016.0,7.0
abbotsford,98 charles st,2,h,1636000.0,s,nelson,2016-08-10,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,yarra,-37.806,144.9954,northern metropolitan,4019.0,135.0,0.007782101167315175,2016.0,8.0
abbotsford,6/241 nicholson st,1,u,300000.0,s,biggin,2016-08-10,2.5,3067.0,1.0,1.0,1.0,0.0,126.0,1970.0,yarra,-37.8008,144.9973,northern metropolitan,4019.0,55.0,1.0,2016.0,8.0
abbotsford,10 valiant st,2,h,1097000.0,s,biggin,2016-08-10,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,yarra,-37.801,144.9989,northern metropolitan,4019.0,125.0,0.00904977375565611,2016.0,8.0
abbotsford,411/8 grosvenor st,2,u,700000.0,vb,jellis,2016-12-11,2.5,3067.0,2.0,2.0,1.0,0.0,126.0,1970.0,yarra,-37.811,145.0067,northern metropolitan,4019.0,55.0,2.0,2016.0,12.0
abbotsford,40 nicholson st,3,h,1350000.0,vb,nelson,2016-12-11,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,yarra,-37.8085,144.9964,northern metropolitan,4019.0,20.0,0.013953488372093023,2016.0,12.0
abbotsford,123/56 nicholson st,2,u,750000.0,s,biggin,2016-12-11,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,yarra,-37.8078,144.9965,northern metropolitan,4019.0,16.0,2.0,2016.0,12.0
abbotsford,45 william st,2,h,1172500.0,s,biggin,,2.5,3067.0,2.0,1.0,1.0,195.0,126.0,1970.0,yarra,-37.8084,144.9973,northern metropolitan,4019.0,55.0,0.01020408163265306,,
abbotsford,7/20 abbotsford st,1,u,441000.0,sp,greg,,2.5,3067.0,1.0,1.0,1.0,0.0,126.0,1970.0,yarra,-37.8016,144.9988,northern metropolitan,4019.0,55.0,1.0,,
abbotsford,16 william st,2,h,1310000.0,s,jellis,,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,yarra,-37.809,144.9976,northern metropolitan,4019.0,135.0,0.008368200836820083,,
abbotsford,42 henry st,3,h,1200000.0,s,jellis,,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,yarra,-37.8056,144.993,northern metropolitan,4019.0,145.0,0.02631578947368421,,
